Model,DPO2024
Firmware Version,1.52

Point Format,Y
Horizontal Units,Hz
Horizontal Scale,260.4
Sample Interval,0.5208
Filter Frequency,2e+08
Record Length,5000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,NONE
Vertical Offset,0
Vertical Scale,20
Label,
TIME,MATH
4.0466e+02,-71.5563
4.0518e+02,-71.0719
4.0570e+02,-71.0719
4.0622e+02,-71.0719
4.0674e+02,-74.5656
4.0727e+02,-78.0594
4.0779e+02,-75.05
4.0831e+02,-72.0406
4.0883e+02,-72.0406
4.0935e+02,-72.0406
4.0987e+02,-70.5375
4.1039e+02,-69.0312
4.1091e+02,-72.0406
4.1143e+02,-75.05
4.1195e+02,-73.5469
4.1247e+02,-72.0406
4.1299e+02,-71.5563
4.1352e+02,-71.0719
4.1404e+02,-69.5656
4.1456e+02,-68.0594
4.1508e+02,-69.5656
4.1560e+02,-71.0719
4.1612e+02,-73.0625
4.1664e+02,-75.05
4.1716e+02,-73.5469
4.1768e+02,-72.0406
4.1820e+02,-71.5563
4.1872e+02,-71.0719
4.1924e+02,-69.7969
4.1976e+02,-68.5187
4.2029e+02,-69.7969
4.2081e+02,-71.0719
4.2133e+02,-73.0625
4.2185e+02,-75.05
4.2237e+02,-75.05
4.2289e+02,-75.05
4.2341e+02,-71.7844
4.2393e+02,-68.5187
4.2445e+02,-70.2812
4.2497e+02,-72.0406
4.2549e+02,-71.5563
4.2601e+02,-71.0719
4.2654e+02,-74.5656
4.2706e+02,-78.0594
4.2758e+02,-73.0594
4.2810e+02,-68.0594
4.2862e+02,-71.5563
4.2914e+02,-75.05
4.2966e+02,-73.0625
4.3018e+02,-71.0719
4.3070e+02,-71.0719
4.3122e+02,-71.0719
4.3174e+02,-71.0719
4.3226e+02,-71.0719
4.3278e+02,-73.0625
4.3331e+02,-75.05
4.3383e+02,-75.05
4.3435e+02,-75.05
4.3487e+02,-76.5563
4.3539e+02,-78.0594
4.3591e+02,-74.5656
4.3643e+02,-71.0719
4.3695e+02,-74.5656
4.3747e+02,-78.0594
4.3799e+02,-73.0594
4.3851e+02,-68.0594
4.3903e+02,-69.5656
4.3956e+02,-71.0719
4.4008e+02,-74.5656
4.4060e+02,-78.0594
4.4112e+02,-76.5563
4.4164e+02,-75.05
4.4216e+02,-72.0406
4.4268e+02,-69.0312
4.4320e+02,-72.0406
4.4372e+02,-75.05
4.4424e+02,-76.5563
4.4476e+02,-78.0594
4.4528e+02,-74.5656
4.4580e+02,-71.0719
4.4633e+02,-71.0719
4.4685e+02,-71.0719
4.4737e+02,-73.0625
4.4789e+02,-75.05
4.4841e+02,-73.5469
4.4893e+02,-72.0406
4.4945e+02,-73.5469
4.4997e+02,-75.05
4.5049e+02,-73.0625
4.5101e+02,-71.0719
4.5153e+02,-71.5563
4.5205e+02,-72.0406
4.5258e+02,-71.5563
4.5310e+02,-71.0719
4.5362e+02,-71.0719
4.5414e+02,-71.0719
4.5466e+02,-71.0719
4.5518e+02,-71.0719
4.5570e+02,-73.0625
4.5622e+02,-75.05
4.5674e+02,-73.5469
4.5726e+02,-72.0406
4.5778e+02,-70.05
4.5830e+02,-68.0594
4.5882e+02,-71.5563
4.5935e+02,-75.05
4.5987e+02,-72.0406
4.6039e+02,-69.0312
4.6091e+02,-70.0531
4.6143e+02,-71.0719
4.6195e+02,-71.0719
4.6247e+02,-71.0719
4.6299e+02,-73.0625
4.6351e+02,-75.05
4.6403e+02,-75.05
4.6455e+02,-75.05
4.6507e+02,-75.05
4.6560e+02,-75.05
4.6612e+02,-71.5563
4.6664e+02,-68.0594
4.6716e+02,-68.2906
4.6768e+02,-68.5187
4.6820e+02,-70.2812
4.6872e+02,-72.0406
4.6924e+02,-71.5563
4.6976e+02,-71.0719
4.7028e+02,-74.5656
4.7080e+02,-78.0594
4.7132e+02,-74.5656
4.7184e+02,-71.0719
4.7237e+02,-71.0719
4.7289e+02,-71.0719
4.7341e+02,-71.5563
4.7393e+02,-72.0406
4.7445e+02,-73.5469
4.7497e+02,-75.05
4.7549e+02,-73.0625
4.7601e+02,-71.0719
4.7653e+02,-73.0625
4.7705e+02,-75.05
4.7757e+02,-75.05
4.7809e+02,-75.05
4.7862e+02,-73.0625
4.7914e+02,-71.0719
4.7966e+02,-70.0531
4.8018e+02,-69.0312
4.8070e+02,-72.0406
4.8122e+02,-75.05
4.8174e+02,-73.5469
4.8226e+02,-72.0406
4.8278e+02,-71.5563
4.8330e+02,-71.0719
4.8382e+02,-74.5656
4.8434e+02,-78.0594
4.8486e+02,-73.5469
4.8539e+02,-69.0312
4.8591e+02,-72.0406
